audio_filename,transcription,video_id,segment_num,start_time,duration,timestamp_range,transcription_length
-socj8VpyUg_seg001.wav,"EXECJET 428, WE'RE GOING TO SAN JOSE WITH CHARLIE.",-socj8VpyUg,1,9,5,[00:09 - 00:14],50
-socj8VpyUg_seg002.wav,MMM... I DON'T HAVE ANYTHING FOR YOU YET. YOU MIGHT BE A FEW MINUTES EARLY.,-socj8VpyUg,2,15,3,[00:15 - 00:18],75
-socj8VpyUg_seg003.wav,"IT'S 3 MINUTES EARLY BUT IF IT MATTERS, I'LL CALL YOU BACK IN 3 MINUTES.",-socj8VpyUg,3,20,3,[00:20 - 00:23],72
-socj8VpyUg_seg004.wav,ROGER. IT DOESN'T PRINT OUT UNTIL 30 MINUTES PRIOR TO YOUR TIME SO I DON'T HAVE IT.,-socj8VpyUg,4,24,5,[00:24 - 00:29],83
-socj8VpyUg_seg005.wav,ACTUALLY IT'S NOT. UMM... WE'RE 28 MINUTES OR 26 MINUTES INTO WHERE IT SHOULD BE ACTIVE SO YOU GOTTA HAVE IT. EJA 428,-socj8VpyUg,5,30,8,[00:30 - 00:38],117
-socj8VpyUg_seg006.wav,I HAVE IT IN 3 MINUTES AT 15:30.,-socj8VpyUg,6,40,2,[00:40 - 00:42],32
-socj8VpyUg_seg007.wav,WHATEVER WORKS.,-socj8VpyUg,7,43,1,[00:43 - 00:44],15
-socj8VpyUg_seg008.wav,SHE'S JUST TRYING TO HELP.,-socj8VpyUg,8,46,2,[00:46 - 00:48],26
-socj8VpyUg_seg009.wav,YEAH... 8 OUT OF 10 TOWERS CAN'T FIND THE FLIGHTPLAN SO... SO I MEAN IT'S WHATEVER.,-socj8VpyUg,9,49,7,[00:49 - 00:56],83
-socj8VpyUg_seg010.wav,"...OR FINDING A FLIGHT PLAN, IT'S A MATTER OF YOU GUYS FILED THAT TIME AND IT'S THE TIME WHEN IT PRINTS OUT. IF YOU'D ASKED ME TO UPDATE THE TIME, I WOULD DO IT FOR YOU. YOU DO NOT NEED TO BE RUDE.",-socj8VpyUg,10,58,9,[00:58 - 01:07],197
-socj8VpyUg_seg011.wav,"NOT BEING RUDE. IF YOU'D LIKE TO UPDATE THE TIME, WE'LL TAKE THE CLEARANCE.",-socj8VpyUg,11,68,3,[01:08 - 01:11],75
-socj8VpyUg_seg012.wav,JUST LISTENING AND THINK YOU'RE BEING PRETTY RUDE.,-socj8VpyUg,12,72,3,[01:12 - 01:15],50
0OQrHM5y4yE_seg003.wav,ACK -> HPN GPD848 PC12,0OQrHM5y4yE,3,8,168,[00:08 - 02:56],22
0OQrHM5y4yE_seg004.wav,"RUNWAY 11, KEEP YOUR DOWNWIND OVER THE NUMBERS OF RUNWAY 16.",0OQrHM5y4yE,4,11,2,[00:11 - 00:13],60
0OQrHM5y4yE_seg005.wav,GPD848 PILATUS PC-12,0OQrHM5y4yE,5,14,5,[00:14 - 00:19],20
0OQrHM5y4yE_seg006.wav,LEFT DOWNWIND FOR 11 OVER THE NUMBERS OF 16. GOODSPEED 848.,0OQrHM5y4yE,6,15,4,[00:15 - 00:19],59
0OQrHM5y4yE_seg007.wav,"TOWER, GOOD EVENING. UP JET 325... ESTABLISHED ON THE LOCALIZER FOR ILS 16",0OQrHM5y4yE,7,26,5,[00:26 - 00:31],74
0OQrHM5y4yE_seg008.wav,"UP JET 325, WESTCHESTER TOWER, REDUCE TO FINAL APPROACH SPEED, RUNWAY 16, CONTINUE.",0OQrHM5y4yE,8,32,3,[00:32 - 00:35],83
0OQrHM5y4yE_seg009.wav,"ALRIGHT, CONTINUE REDUCING TO FINAL APPROACH SPEED. UP JET 325.",0OQrHM5y4yE,9,37,3,[00:37 - 00:40],63
0OQrHM5y4yE_seg010.wav,"GOODSPEED 848, TURN BASE. RUNWAY 11, CLEARED TO LAND.",0OQrHM5y4yE,10,49,2,[00:49 - 00:51],53
0OQrHM5y4yE_seg011.wav,LEFT... TURN BASE AND 11 CLEARED TO LAND. GOODSPEED 848.,0OQrHM5y4yE,11,52,3,[00:52 - 00:55],56
0OQrHM5y4yE_seg012.wav,MVY -> HPN WUP325 C56X,0OQrHM5y4yE,12,56,120,[00:56 - 02:56],22
0OQrHM5y4yE_seg013.wav,"UP JET 325, YOU'RE NUMBER 2. TRAFFIC IS A PILATUS A MILE 1.5 MILE FINAL FOR RUNWAY 11. RUNWAY 16 CLEARED TO LAND.",0OQrHM5y4yE,13,60,5,[01:00 - 01:05],113
0OQrHM5y4yE_seg014.wav,WUP325 CESSNA 560XL,0OQrHM5y4yE,14,65,5,[01:05 - 01:10],19
