audio_filename,video_id,segment_num,transcription,reason,matched_keywords,duration
0OQrHM5y4yE_seg001.wav,0OQrHM5y4yE,1,ATC AUDIO YOUTUBE CHANNEL VISUALIZED,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL', 'VISUALIZED']",
0OQrHM5y4yE_seg002.wav,0OQrHM5y4yE,2,MAP AND ANIMATION CREATED BY A.TAYSIN AUDIO SOURCE: WWW.LIVEATC.COM,metadata,"['MAP AND ANIMATION', 'CREATED BY', 'AUDIO SOURCE', 'WWW.', 'LIVEATC.COM']",
0Oh_4i5yL2s_seg001.wav,0Oh_4i5yL2s,1,ATC AUDIO YOUTUBE CHANNEL VISUALIZED,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL', 'VISUALIZED']",
0Oh_4i5yL2s_seg002.wav,0Oh_4i5yL2s,2,MAP AND ANIMATION CREATED BY A. TAYSIN AUDIO SOURCE - WWW.LIVEATC.COM ATC AUDIO,metadata,"['ATC AUDIO', 'MAP AND ANIMATION', 'CREATED BY', 'AUDIO SOURCE', 'WWW.', 'LIVEATC.COM']",
10dsKnPoMQs_seg001.wav,10dsKnPoMQs,1,ATC AUDIO,metadata,['ATC AUDIO'],
10dsKnPoMQs_seg002.wav,10dsKnPoMQs,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
10dsKnPoMQs_seg003.wav,10dsKnPoMQs,3,VISUALIZED,metadata,['VISUALIZED'],
10dsKnPoMQs_seg004.wav,10dsKnPoMQs,4,ATC AUDIO,metadata,['ATC AUDIO'],
10dsKnPoMQs_seg005.wav,10dsKnPoMQs,5,MAP AND ANIMATION CREATED BY A. TEYSSIN AUDIO SOURCE: WWW.LIVEATC.NET,metadata,"['MAP AND ANIMATION', 'CREATED BY', 'AUDIO SOURCE', 'WWW.', 'LIVEATC.NET']",
1CYaJGSQP_E_seg001.wav,1CYaJGSQP_E,1,ATC AUDIO,metadata,['ATC AUDIO'],
1CYaJGSQP_E_seg002.wav,1CYaJGSQP_E,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
1LrDImibNKc_seg001.wav,1LrDImibNKc,1,ATC AUDIO,metadata,['ATC AUDIO'],
1LrDImibNKc_seg002.wav,1LrDImibNKc,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
1LrDImibNKc_seg003.wav,1LrDImibNKc,3,VISUALIZED,metadata,['VISUALIZED'],
1LrDImibNKc_seg004.wav,1LrDImibNKc,4,MAP AND ANIMATION CREATED BY A.TAYSIN AUDIO SOURCE - WWW.LIVEATC.COM,metadata,"['MAP AND ANIMATION', 'CREATED BY', 'AUDIO SOURCE', 'WWW.', 'LIVEATC.COM']",
1Php7MdP8ac_seg001.wav,1Php7MdP8ac,1,ATC AUDIO YOUTUBE CHANNEL,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL']",
1Php7MdP8ac_seg002.wav,1Php7MdP8ac,2,MAP AND ANIMATION CREATED BY V. TAYSIN AUDIO SOURCE: WWW.LIVEATC.COM,metadata,"['MAP AND ANIMATION', 'CREATED BY', 'AUDIO SOURCE', 'WWW.', 'LIVEATC.COM']",
1ZHfRoYxvTg_seg001.wav,1ZHfRoYxvTg,1,ATC AUDIO YOUTUBE CHANNEL,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL']",
1faZlaA9MOY_seg001.wav,1faZlaA9MOY,1,ATC AUDIO YOUTUBE CHANNEL,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL']",
1faZlaA9MOY_seg002.wav,1faZlaA9MOY,2,MAP AND ANIMATION CREATED BY A. VEYSIN AUDIO SOURCE: WWW.LIVEATC.NET,metadata,"['MAP AND ANIMATION', 'CREATED BY', 'AUDIO SOURCE', 'WWW.', 'LIVEATC.NET']",
1vR0wDbgPG0_seg001.wav,1vR0wDbgPG0,1,ATC AUDIO,metadata,['ATC AUDIO'],
1vR0wDbgPG0_seg002.wav,1vR0wDbgPG0,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
1vR0wDbgPG0_seg003.wav,1vR0wDbgPG0,3,VISUALIZED,metadata,['VISUALIZED'],
1vR0wDbgPG0_seg004.wav,1vR0wDbgPG0,4,MAP AND ANIMATION CREATED BY A. TEYSSIN,metadata,"['MAP AND ANIMATION', 'CREATED BY']",
1vR0wDbgPG0_seg005.wav,1vR0wDbgPG0,5,AUDIO SOURCE: WWW.LIVEATC.NET,metadata,"['AUDIO SOURCE', 'WWW.', 'LIVEATC.NET']",
2E4aSaEa3OI_seg001.wav,2E4aSaEa3OI,1,ATC AUDIO,metadata,['ATC AUDIO'],
2E4aSaEa3OI_seg002.wav,2E4aSaEa3OI,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
2J1uM0CP7Jc_seg001.wav,2J1uM0CP7Jc,1,ATC AUDIO YOUTUBE CHANNEL VISUALIZED,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL', 'VISUALIZED']",
3QKaoNp6TVU_seg001.wav,3QKaoNp6TVU,1,ATC AUDIO,metadata,['ATC AUDIO'],
3QKaoNp6TVU_seg002.wav,3QKaoNp6TVU,2,ATC AUDIO,metadata,['ATC AUDIO'],
3QKaoNp6TVU_seg003.wav,3QKaoNp6TVU,3,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
3QKaoNp6TVU_seg004.wav,3QKaoNp6TVU,4,MAP AND ANIMATION CREATED BY A. WYSEN,metadata,"['MAP AND ANIMATION', 'CREATED BY']",
3QKaoNp6TVU_seg005.wav,3QKaoNp6TVU,5,AUDIO SOURCE: WWW.LIVEATC.NET,metadata,"['AUDIO SOURCE', 'WWW.', 'LIVEATC.NET']",
3YUU9tgA028_seg001.wav,3YUU9tgA028,1,ATC AUDIO YOUTUBE CHANNEL VISUALIZED,metadata,"['ATC AUDIO', 'YOUTUBE', 'CHANNEL', 'VISUALIZED']",
4-pGf1uoM9s_seg001.wav,4-pGf1uoM9s,1,ATC AUDIO,metadata,['ATC AUDIO'],
4-pGf1uoM9s_seg002.wav,4-pGf1uoM9s,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
4-pGf1uoM9s_seg003.wav,4-pGf1uoM9s,3,VISUALIZED,metadata,['VISUALIZED'],
4-pGf1uoM9s_seg004.wav,4-pGf1uoM9s,4,MAP AND ANIMATION CREATED BY: A. TAYSIN,metadata,"['MAP AND ANIMATION', 'CREATED BY']",
4-pGf1uoM9s_seg005.wav,4-pGf1uoM9s,5,AUDIO SOURCE: WWW.LIVEATC.COM,metadata,"['AUDIO SOURCE', 'WWW.', 'LIVEATC.COM']",
4-pGf1uoM9s_seg006.wav,4-pGf1uoM9s,6,ATCAUDIO,metadata,['ATCAUDIO'],
4SdKzKMp8VU_seg001.wav,4SdKzKMp8VU,1,ATC AUDIO,metadata,['ATC AUDIO'],
4SdKzKMp8VU_seg002.wav,4SdKzKMp8VU,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
4SdKzKMp8VU_seg003.wav,4SdKzKMp8VU,3,MAP AND ANIMATION CREATED BY A. VYSIN,metadata,"['MAP AND ANIMATION', 'CREATED BY']",
4SdKzKMp8VU_seg004.wav,4SdKzKMp8VU,4,AUDIO SOURCE: WWW.LIVEATC.NET,metadata,"['AUDIO SOURCE', 'WWW.', 'LIVEATC.NET']",
4SdKzKMp8VU_seg005.wav,4SdKzKMp8VU,5,ATC AUDIO,metadata,['ATC AUDIO'],
4bsyJit6u4k_seg001.wav,4bsyJit6u4k,1,ATC AUDIO,metadata,['ATC AUDIO'],
4bsyJit6u4k_seg002.wav,4bsyJit6u4k,2,YOUTUBE CHANNEL,metadata,"['YOUTUBE', 'CHANNEL']",
